"","CD_C1_H.Gene","CD_C1_H.CD_C1_H","CD_C2_H.CD_C2_H","CD_C3_H.CD_C3_H","CD_HS1_H.CD_HS1_H","CD_HS2_H.CD_HS2_H","CD_HS3_H.CD_HS3_H"
"1","A1CF",0,0,0,46,0,0
"2","A2ML1",0,1,0,0,0,0
"3","A4GALT",5,2926,32,54,29,49
"4","AAAS",0,0,0,0,0,0
"5","AACS",2,161,0,0,2,1
"6","AAGAB",0,0,0,0,0,0
"7","AAK1",2,313,0,18,7,32
"8","AAMDC",1,288,11,0,7,1
"9","AANAT",0,0,0,0,0,0
"10","AAR2",0,0,0,0,0,0
"11","AARS1",19,2426,56,78,37,238
"12","AARS2",3,496,2,6,0,14
"13","AASDH",6,324,2,0,11,20
"14","AASDHPPT",2,386,8,19,2,17
"15","AASS",8,1746,22,21,25,45
"16","AATF",0,0,0,0,0,0
"17","AATK",0,0,0,0,0,0
"18","ABAT",0,34,0,0,0,0
"19","ABCA1",4,545,2,11,5,11
"20","ABCA12",0,0,0,0,0,0
"21","ABCA13",0,0,0,0,0,0
"22","ABCA2",0,58,0,0,1,11
"23","ABCA3",0,179,0,3,0,1
"24","ABCA4",0,0,0,0,0,0
"25","ABCA5",3,251,0,0,2,1
"26","ABCA7",0,83,0,0,0,7
"27","ABCB1",0,0,0,0,0,0
"28","ABCB10",0,590,0,0,6,8
"29","ABCB11",0,0,0,0,0,0
"30","ABCB5",0,5,0,0,0,1
"31","ABCB6",0,0,0,0,0,0
"32","ABCB7",6,733,11,12,0,78
"33","ABCB8",0,561,16,0,1,29
"34","ABCB9",0,139,0,11,0,1
"35","ABCC10",2,175,0,5,0,26
"36","ABCC12",0,0,0,1,0,0
"37","ABCC2",0,184,5,0,0,0
"38","ABCC3",2,385,34,0,6,19
"39","ABCC4",0,70,0,0,0,1
"40","ABCC5",7,1661,18,72,35,260
"41","ABCC8",55,7715,61,100,110,198
"42","ABCC9",30,4280,29,39,31,147
"43","ABCD2",0,57,0,0,0,1
"44","ABCD3",11,823,4,0,6,30
"45","ABCD4",4,330,0,44,2,1
"46","ABCE1",11,1539,53,19,18,64
"47","ABCF1",113,5378,131,176,162,978
"48","ABCF3",6,1109,38,62,10,41
"49","ABCG1",0,245,0,2,0,4
"50","ABCG4",0,0,0,0,0,0
"51","ABHD1",0,46,0,0,0,0
"52","ABHD10",0,291,0,4,0,3
"53","ABHD11",0,0,0,0,0,0
"54","ABHD12",7,291,1,0,1,6
"55","ABHD12B",0,0,0,0,0,0
"56","ABHD13",0,23,0,0,0,0
"57","ABHD14A",0,127,1,0,0,9
"58","ABHD14B",1,259,0,17,6,2
"59","ABHD15",0,0,0,0,0,0
"60","ABHD16A",0,314,0,0,0,13
"61","ABHD16B",0,0,0,0,0,0
"62","ABHD17A",3,324,0,0,0,13
"63","ABHD17B",0,130,7,0,4,4
"64","ABHD17C",0,0,0,0,0,0
"65","ABHD18",3,375,0,17,1,7
"66","ABHD2",0,1,0,0,0,2
"67","ABHD3",2,86,10,5,1,0
"68","ABHD4",0,0,0,0,0,0
"69","ABHD5",7,699,11,14,8,19
"70","ABHD6",0,252,16,11,9,20
"71","ABHD8",54,8767,96,176,78,329
"72","ABI1",3,367,21,0,11,33
"73","ABI2",0,0,0,0,0,0
"74","ABI3",0,31,0,7,3,0
"75","ABITRAM",1,100,5,1,4,8
"76","ABL1",11,899,1,0,3,21
"77","ABL2",4,302,0,0,6,0
"78","ABLIM1",54,5415,100,79,46,150
"79","ABLIM2",4,402,18,0,7,12
"80","ABLIM3",5,488,0,0,6,24
"81","ABR",4,768,0,18,0,21
"82","ABRA",0,307,0,0,11,26
"83","ABRACL",0,0,0,0,0,4
"84","ABRAXAS1",0,115,0,0,0,0
"85","ABRAXAS2",4,390,0,0,0,4
"86","ABT1",0,0,0,0,0,0
"87","ABTB1",3,785,12,0,5,31
"88","ABTB2",0,62,0,0,7,5
"89","ACAA1",2,835,9,5,13,50
"90","ACAA2",30,3799,61,80,58,229
"91","ACACA",0,16,0,0,0,0
"92","ACACB",13,3147,22,106,15,59
"93","ACAD10",3,263,0,0,8,14
"94","ACAD11",13,689,36,0,7,23
"95","ACAD8",0,0,0,0,0,0
"96","ACAD9",27,2851,43,57,22,111
"97","ACADL",0,0,0,0,0,0
"98","ACADM",25,3229,21,94,17,100
"99","ACADS",19,1628,0,2,20,54
"100","ACADSB",22,3982,52,25,54,124
"101","ACADVL",1,21,0,0,0,3
"102","ACAN",0,52,0,0,0,0
"103","ACAP2",9,1894,13,2,23,79
"104","ACAP3",0,0,0,0,0,0
"105","ACAT1",120,16749,291,275,246,708
"106","ACAT2",5,106,0,0,0,17
"107","ACBD3",11,1535,26,11,42,59
"108","ACBD4",6,779,0,31,5,37
"109","ACBD5",11,840,35,29,7,18
"110","ACBD6",12,1061,15,13,15,47
"111","ACBD7",3,498,19,0,5,6
"112","ACCS",0,57,0,0,0,0
"113","ACE",18,2244,39,13,33,103
"114","ACE2",0,0,0,0,0,0
"115","ACER1",0,0,0,0,0,0
"116","ACER2",1,355,0,0,8,8
"117","ACER3",11,676,0,9,1,8
"118","ACHE",0,0,0,0,0,0
"119","ACIN1",0,0,0,0,0,0
"120","ACKR1",0,0,0,0,0,0
"121","ACKR2",0,0,0,0,0,0
"122","ACKR3",0,0,0,0,0,0
"123","ACKR4",0,0,0,0,0,5
"124","ACLY",1,709,1,16,5,26
